# t x y z qx qy qz qw
1726601856.258570910 0.000000000 0.000000000 0.000000000 -0.025550696 -0.086018153 -0.004761993 0.995954498
1726601856.261137009 0.059302330 0.000379766 0.009516959 -0.025658671 -0.086468469 -0.004776629 0.995912657
1726601856.263638973 0.118624548 0.000765008 0.019092795 -0.025766499 -0.086919500 -0.004791425 0.995870539
1726601856.266099930 0.177966492 0.001155759 0.028727615 -0.025874181 -0.087371240 -0.004806384 0.995828144
1726601856.268582106 0.237328003 0.001552052 0.038421526 -0.025981717 -0.087823680 -0.004821507 0.995785471
1726601856.271111012 0.296708919 0.001953922 0.048174635 -0.026089105 -0.088276814 -0.004836793 0.995742521
1726601856.273612022 0.356109080 0.002361401 0.057987048 -0.026196346 -0.088730635 -0.004852244 0.995699293
1726601856.276165962 0.415528324 0.002774522 0.067858871 -0.026303438 -0.089185136 -0.004867859 0.995655786
1726601856.278597116 0.474966489 0.003193318 0.077790209 -0.026410381 -0.089640311 -0.004883640 0.995612001
1726601856.281085014 0.534423415 0.003617822 0.087781168 -0.026517176 -0.090096152 -0.004899585 0.995567937
1726601856.283570051 0.593898939 0.004048068 0.097831852 -0.026623820 -0.090552653 -0.004915696 0.995523593
1726601856.286067963 0.653392899 0.004484089 0.107942366 -0.026730314 -0.091009808 -0.004931973 0.995478971
1726601856.288614988 0.712905132 0.004925916 0.118112813 -0.026836657 -0.091467610 -0.004948416 0.995434068
1726601856.291085005 0.772435477 0.005373583 0.128343297 -0.026942850 -0.091926055 -0.004965026 0.995388885
1726601856.293739080 0.831983770 0.005827124 0.138633921 -0.027048891 -0.092385135 -0.004981801 0.995343421
1726601856.296082020 0.891549849 0.006286569 0.148984788 -0.027154781 -0.092844845 -0.004998742 0.995297677
1726601856.298588991 0.951133550 0.006751953 0.159395998 -0.027260519 -0.093305180 -0.005015850 0.995251651
1726601856.301147938 1.010734710 0.007223308 0.169867654 -0.027366104 -0.093766133 -0.005033124 0.995205344
1726601856.303596020 1.070353166 0.007700666 0.180399857 -0.027471535 -0.094227701 -0.005050564 0.995158755
1726601856.306112051 1.129988754 0.008184060 0.190992708 -0.027576814 -0.094689876 -0.005068168 0.995111883
1726601856.308680058 1.189641311 0.008673522 0.201646305 -0.027681941 -0.095152656 -0.005085940 0.995064729
1726601856.311085939 1.249310671 0.009169084 0.212360749 -0.027786912 -0.095616034 -0.005103876 0.995017292
1726601856.313621998 1.308996672 0.009670780 0.223136139 -0.027891731 -0.096080006 -0.005121977 0.994969572
1726601856.316103935 1.368699149 0.010178640 0.233972574 -0.027996395 -0.096544568 -0.005140244 0.994921568
1726601856.318588018 1.428417936 0.010692698 0.244870150 -0.028100905 -0.097009717 -0.005158673 0.994873279
1726601856.321082115 1.488152871 0.011212985 0.255828966 -0.028205261 -0.097475445 -0.005177267 0.994824707
1726601856.323646069 1.547903787 0.011739533 0.266849118 -0.028309462 -0.097941750 -0.005196024 0.994775849
1726601856.326081991 1.607670519 0.012272375 0.277930702 -0.028413508 -0.098408629 -0.005214944 0.994726706
1726601856.328586102 1.667452904 0.012811542 0.289073815 -0.028517399 -0.098876076 -0.005234025 0.994677277
1726601856.331109047 1.727250775 0.013357067 0.300278551 -0.028621135 -0.099344090 -0.005253269 0.994627561
1726601856.333619118 1.787063966 0.013908980 0.311545005 -0.028724717 -0.099812665 -0.005272674 0.994577559
1726601856.336095095 1.846892313 0.014467313 0.322873272 -0.028828142 -0.100281799 -0.005292238 0.994527270
1726601856.338613033 1.906735650 0.015032099 0.334263444 -0.028931414 -0.100751489 -0.005311963 0.994476693
1726601856.341295958 1.966593810 0.015603369 0.345715614 -0.029034530 -0.101221730 -0.005331846 0.994425829
1726601856.343549013 2.026466627 0.016181154 0.357229875 -0.029137490 -0.101692521 -0.005351887 0.994374675
1726601856.346075058 2.086353936 0.016765485 0.368806319 -0.029240297 -0.102163857 -0.005372085 0.994323233
1726601856.348638058 2.146255570 0.017356395 0.380445037 -0.029342947 -0.102635737 -0.005392440 0.994271501
1726601856.351134062 2.206171363 0.017953914 0.392146120 -0.029445442 -0.103108158 -0.005412951 0.994219480
1726601856.353667974 2.266101148 0.018558074 0.403909657 -0.029547784 -0.103581117 -0.005433617 0.994167167
1726601856.356246948 2.326044758 0.019168905 0.415735738 -0.029649970 -0.104054612 -0.005454436 0.994114564
1726601856.358602047 2.386002026 0.019786440 0.427624453 -0.029752001 -0.104528640 -0.005475408 0.994061669
1726601856.361123085 2.445972786 0.020410708 0.439575889 -0.029853878 -0.105003200 -0.005496533 0.994008482
1726601856.363593102 2.505956870 0.021041741 0.451590134 -0.029955601 -0.105478286 -0.005517809 0.993955002
1726601856.366086960 2.565954111 0.021679570 0.463667276 -0.030057170 -0.105953902 -0.005539235 0.993901230
1726601856.368551016 2.625964342 0.022324226 0.475807401 -0.030158584 -0.106430041 -0.005560809 0.993847163
1726601856.371138096 2.685987394 0.022975739 0.488010596 -0.030259846 -0.106906702 -0.005582532 0.993792802
1726601856.373838902 2.746023102 0.023634140 0.500276946 -0.030360953 -0.107383885 -0.005604401 0.993738147
1726601856.376077890 2.806071296 0.024299461 0.512606535 -0.030461908 -0.107861586 -0.005626417 0.993683196
1726601856.378665924 2.866131671 0.024971729 0.524999419 -0.030562673 -0.108339805 -0.005648569 0.993627950
1726601856.381119013 2.926204060 0.025650976 0.537455681 -0.030663250 -0.108818541 -0.005670857 0.993572409
1726601856.383586884 2.986288295 0.026337231 0.549975403 -0.030763644 -0.109297789 -0.005693278 0.993516572
1726601856.386115074 3.046384209 0.027030526 0.562558667 -0.030863857 -0.109777551 -0.005715835 0.993460438
1726601856.388638973 3.106491632 0.027730891 0.575205555 -0.030963893 -0.110257823 -0.005738526 0.993404006
1726601856.391128063 3.166610397 0.028438355 0.587916149 -0.031063755 -0.110738604 -0.005761349 0.993347276
1726601856.393615961 3.226740335 0.029152949 0.600690528 -0.031163446 -0.111219894 -0.005784305 0.993290248
1726601856.396080017 3.286881278 0.029874703 0.613528773 -0.031262967 -0.111701689 -0.005807390 0.993232920
1726601856.398668051 3.347033058 0.030603647 0.626430964 -0.031362321 -0.112183991 -0.005830608 0.993175292
1726601856.401071072 3.407195506 0.031339810 0.639397179 -0.031461511 -0.112666796 -0.005853954 0.993117363
1726601856.403650045 3.467368453 0.032083223 0.652427496 -0.031560538 -0.113150104 -0.005877429 0.993059133
1726601856.406102896 3.527551730 0.032833915 0.665521994 -0.031659404 -0.113633912 -0.005901031 0.993000601
1726601856.408607006 3.587745168 0.033591916 0.678680749 -0.031758111 -0.114118222 -0.005924760 0.992941766
1726601856.411128998 3.647948599 0.034357256 0.691903839 -0.031856662 -0.114603030 -0.005948615 0.992882628
1726601856.413618088 3.708161852 0.035129964 0.705191341 -0.031955056 -0.115088336 -0.005972595 0.992823185
1726601856.416140079 3.768384759 0.035910070 0.718543329 -0.032053297 -0.115574138 -0.005996697 0.992763438
1726601856.418616056 3.828616740 0.036697599 0.731959782 -0.032151271 -0.116060436 -0.006020895 0.992703390
1726601856.421175003 3.888857627 0.037492580 0.745440773 -0.032248990 -0.116547228 -0.006045186 0.992643039
1726601856.423580885 3.949107249 0.038295043 0.758986375 -0.032346466 -0.117034514 -0.006069574 0.992582384
1726601856.426067114 4.009365440 0.039105016 0.772596660 -0.032443707 -0.117522292 -0.006094057 0.992521425
1726601856.428581953 4.069632029 0.039922529 0.786271698 -0.032540725 -0.118010559 -0.006118637 0.992460161
1726601856.431097984 4.129906848 0.040747610 0.800011562 -0.032637527 -0.118499316 -0.006143314 0.992398591
1726601856.433600903 4.190189728 0.041580288 0.813816321 -0.032734121 -0.118988562 -0.006168087 0.992336714
1726601856.436171055 4.250480499 0.042420592 0.827686046 -0.032830515 -0.119478293 -0.006192956 0.992274530
1726601856.438604116 4.310777631 0.043268536 0.841620473 -0.032926335 -0.119968512 -0.006217824 0.992212050
1726601856.441118956 4.371080956 0.044124146 0.855619667 -0.033021625 -0.120459214 -0.006242697 0.992149272
1726601856.443593979 4.431390310 0.044987451 0.869683690 -0.033116421 -0.120950397 -0.006267578 0.992086197
1726601856.446100950 4.491705524 0.045858478 0.883812603 -0.033210757 -0.121442062 -0.006292476 0.992022820
1726601856.448615074 4.552026433 0.046737256 0.898006470 -0.033304665 -0.121934204 -0.006317392 0.991959142
1726601856.451124907 4.612352870 0.047623810 0.912265351 -0.033398174 -0.122426822 -0.006342333 0.991895161
1726601856.453592062 4.672684669 0.048518169 0.926589309 -0.033491308 -0.122919914 -0.006367302 0.991830875
1726601856.456083059 4.733021661 0.049420360 0.940978402 -0.033584093 -0.123413479 -0.006392303 0.991766283
1726601856.458559036 4.793363546 0.050330409 0.955432659 -0.033676513 -0.123907512 -0.006417328 0.991701386
1726601856.461101055 4.853710155 0.051248341 0.969952137 -0.033768591 -0.124402014 -0.006442380 0.991636182
1726601856.463596106 4.914061323 0.052174184 0.984536897 -0.033860350 -0.124896982 -0.006467463 0.991570669
1726601856.466103077 4.974416883 0.053107966 0.999186995 -0.033951808 -0.125392414 -0.006492581 0.991504848
1726601856.468637943 5.034776666 0.054049712 1.013902492 -0.034042984 -0.125888306 -0.006517735 0.991438717
1726601856.471118927 5.095140508 0.054999450 1.028683443 -0.034133894 -0.126384657 -0.006542928 0.991372274
1726601856.473654985 5.155508239 0.055957206 1.043529907 -0.034224554 -0.126881466 -0.006568162 0.991305519
1726601856.476114988 5.215879694 0.056923007 1.058441940 -0.034314978 -0.127378730 -0.006593439 0.991238452
1726601856.478609085 5.276254298 0.057896874 1.073419493 -0.034405064 -0.127876446 -0.006618728 0.991171074
1726601856.481112957 5.336631886 0.058878832 1.088462620 -0.034494837 -0.128374613 -0.006644033 0.991103386
1726601856.483679056 5.397012292 0.059868909 1.103571375 -0.034584315 -0.128873228 -0.006669358 0.991035386
1726601856.486088037 5.457395347 0.060867131 1.118745811 -0.034673518 -0.129372289 -0.006694706 0.990967073
1726601856.488603115 5.517780887 0.061873523 1.133985982 -0.034762463 -0.129871793 -0.006720079 0.990898445
1726601856.491092920 5.578168744 0.062888112 1.149291939 -0.034851166 -0.130371738 -0.006745482 0.990829503
1726601856.493577003 5.638558751 0.063910923 1.164663735 -0.034939639 -0.130872122 -0.006770914 0.990760245
1726601856.496105909 5.698950742 0.064941983 1.180101423 -0.035027899 -0.131372942 -0.006796379 0.990690671
1726601856.498641014 5.759344145 0.065981311 1.195604943 -0.035115842 -0.131874196 -0.006821845 0.990620783
1726601856.501149893 5.819738795 0.067028933 1.211174346 -0.035203491 -0.132375882 -0.006847317 0.990550581
1726601856.503591061 5.880134525 0.068084875 1.226809679 -0.035290866 -0.132877996 -0.006872798 0.990480064
1726601856.506103992 5.940531169 0.069149163 1.242510992 -0.035377986 -0.133380536 -0.006898292 0.990409231
1726601856.508584976 6.000928561 0.070221820 1.258278332 -0.035464865 -0.133883501 -0.006923802 0.990338080
1726601856.511090994 6.061326534 0.071302875 1.274111747 -0.035551519 -0.134386886 -0.006949330 0.990266611
1726601856.513645887 6.121724924 0.072392350 1.290011284 -0.035637963 -0.134890691 -0.006974879 0.990194823
1726601856.516129971 6.182123562 0.073490272 1.305976990 -0.035724211 -0.135394912 -0.007000454 0.990122716
1726601856.518569946 6.242520808 0.074596644 1.322008500 -0.035809860 -0.135899547 -0.007025928 0.990050304
1726601856.521114111 6.302916500 0.075711489 1.338105854 -0.035894963 -0.136404593 -0.007051313 0.989977584
1726601856.523541927 6.363310474 0.076834831 1.354269091 -0.035979562 -0.136910047 -0.007076619 0.989904557
1726601856.526058912 6.423702567 0.077966696 1.370498250 -0.036063700 -0.137415905 -0.007101856 0.989831219
1726601856.528588057 6.484092617 0.079107106 1.386793369 -0.036147413 -0.137922163 -0.007127032 0.989757570
1726601856.531132936 6.544480461 0.080256086 1.403154486 -0.036230735 -0.138428820 -0.007152154 0.989683607
1726601856.533757925 6.604865935 0.081413660 1.419581639 -0.036313697 -0.138935872 -0.007177230 0.989609330
1726601856.536072969 6.665248878 0.082579852 1.436074866 -0.036396328 -0.139443315 -0.007202267 0.989534737
1726601856.538568020 6.725627794 0.083754663 1.452633821 -0.036478283 -0.139951147 -0.007227154 0.989459842
1726601856.541086912 6.786002524 0.084938116 1.469258534 -0.036559620 -0.140459364 -0.007251903 0.989384643
1726601856.543560982 6.846372909 0.086130234 1.485949037 -0.036640393 -0.140967961 -0.007276528 0.989309137
1726601856.546103954 6.906738788 0.087331039 1.502705360 -0.036720650 -0.141476936 -0.007301041 0.989233322
1726601856.548683882 6.967100002 0.088540554 1.519527533 -0.036800435 -0.141986284 -0.007325453 0.989157197
1726601856.551100016 7.027456392 0.089758802 1.536415584 -0.036879788 -0.142496002 -0.007349774 0.989080761
1726601856.553611994 7.087807796 0.090985805 1.553369543 -0.036958745 -0.143006084 -0.007374015 0.989004012
1726601856.556118011 7.148154056 0.092221586 1.570389440 -0.037037342 -0.143516529 -0.007398184 0.988926948
1726601856.558590889 7.208494879 0.093466164 1.587475263 -0.037115570 -0.144027333 -0.007422275 0.988849570
1726601856.561146021 7.268830105 0.094719561 1.604627039 -0.037193462 -0.144538490 -0.007446298 0.988771877
1726601856.563628912 7.329159575 0.095981800 1.621844797 -0.037271045 -0.145049999 -0.007470261 0.988693867
1726601856.566121101 7.389483130 0.097252903 1.639128563 -0.037348347 -0.145561855 -0.007494172 0.988615539
1726601856.568602085 7.449800609 0.098532892 1.656478362 -0.037425390 -0.146074054 -0.007518035 0.988536894
1726601856.571099997 7.510111853 0.099821788 1.673894223 -0.037502197 -0.146586593 -0.007541860 0.988457928
1726601856.573679924 7.570416703 0.101119614 1.691376169 -0.037578788 -0.147099468 -0.007565651 0.988378643
1726601856.576071024 7.630714998 0.102426392 1.708924226 -0.037655180 -0.147612677 -0.007589412 0.988299037
1726601856.578658104 7.691004083 0.103742096 1.726537658 -0.037730696 -0.148126215 -0.007612913 0.988219137
1726601856.581151009 7.751283804 0.105066747 1.744216479 -0.037805417 -0.148640078 -0.007636174 0.988138941
1726601856.583606958 7.811554007 0.106400364 1.761960701 -0.037879416 -0.149154262 -0.007659216 0.988058446
1726601856.586136103 7.871814542 0.107742968 1.779770339 -0.037952758 -0.149668761 -0.007682058 0.987977650
1726601856.588597059 7.932065253 0.109094579 1.797645404 -0.038025505 -0.150183571 -0.007704717 0.987896550
1726601856.591104984 7.992305989 0.110455215 1.815585910 -0.038097711 -0.150698688 -0.007727209 0.987815145
1726601856.593713999 8.052536596 0.111824898 1.833591869 -0.038169427 -0.151214107 -0.007749550 0.987733432
1726601856.596164942 8.112756922 0.113203646 1.851663293 -0.038240698 -0.151729823 -0.007771753 0.987651411
1726601856.598606110 8.172965643 0.114591456 1.869799825 -0.038311241 -0.152245834 -0.007793715 0.987569093
1726601856.601104975 8.233162608 0.115988346 1.888001473 -0.038381125 -0.152762131 -0.007815456 0.987486475
1726601856.603575945 8.293347669 0.117394334 1.906268241 -0.038450413 -0.153278713 -0.007836997 0.987403556
1726601856.606075048 8.353520675 0.118809440 1.924600136 -0.038519158 -0.153795574 -0.007858353 0.987320334
1726601856.608619928 8.413681477 0.120233682 1.942997164 -0.038587416 -0.154312708 -0.007879541 0.987236807
1726601856.611108065 8.473829926 0.121667077 1.961459329 -0.038655232 -0.154830111 -0.007900576 0.987152972
1726601856.613889933 8.533965872 0.123109645 1.979986636 -0.038722649 -0.155347780 -0.007921472 0.987068829
1726601856.616106033 8.594089165 0.124561403 1.998579089 -0.038789705 -0.155865707 -0.007942241 0.986984377
1726601856.618602991 8.654198236 0.126022340 2.017236236 -0.038856043 -0.156383891 -0.007962751 0.986899631
1726601856.621128082 8.714292940 0.127492472 2.035958071 -0.038921733 -0.156902324 -0.007983023 0.986814588
1726601856.623606920 8.774373130 0.128971816 2.054744595 -0.038986837 -0.157421003 -0.008003080 0.986729246
1726601856.626090050 8.834438663 0.130460390 2.073595803 -0.039051412 -0.157939921 -0.008022936 0.986643604
1726601856.628751993 8.894489392 0.131958211 2.092511692 -0.039115509 -0.158459074 -0.008042612 0.986557659
1726601856.631160975 8.954525172 0.133465294 2.111492260 -0.039179179 -0.158978459 -0.008062123 0.986471410
1726601856.633644104 9.014545859 0.134981657 2.130537502 -0.039242463 -0.159498067 -0.008081484 0.986384857
1726601856.636118889 9.074551306 0.136507317 2.149647415 -0.039305402 -0.160017898 -0.008100708 0.986297996
1726601856.638587952 9.134541113 0.138042285 2.168821909 -0.039367958 -0.160537944 -0.008119782 0.986210830
1726601856.641103029 9.194515135 0.139586576 2.188060977 -0.039430172 -0.161058202 -0.008138721 0.986123359
1726601856.643665075 9.254473227 0.141140208 2.207364616 -0.039492079 -0.161578667 -0.008157535 0.986035580
1726601856.646230936 9.314415247 0.142703197 2.226732817 -0.039553713 -0.162099333 -0.008176239 0.985947493
1726601856.648652077 9.374341049 0.144275558 2.246165573 -0.039615102 -0.162620198 -0.008194842 0.985859097
1726601856.651134014 9.434250490 0.145857309 2.265662879 -0.039676273 -0.163141257 -0.008213359 0.985770391
1726601856.653692961 9.494143425 0.147448466 2.285224727 -0.039737252 -0.163662505 -0.008231794 0.985681375
1726601856.656141996 9.554019712 0.149049045 2.304851107 -0.039798060 -0.164183940 -0.008250161 0.985592047
1726601856.658617973 9.613878059 0.150659034 2.324541621 -0.039858399 -0.164705555 -0.008268343 0.985502421
1726601856.661164999 9.673718325 0.152278450 2.344296255 -0.039918317 -0.165227347 -0.008286357 0.985412496
1726601856.663652897 9.733540370 0.153907307 2.364114994 -0.039977859 -0.165749311 -0.008304220 0.985322270
1726601856.666086912 9.793344055 0.155545621 2.383997825 -0.040037063 -0.166271445 -0.008321947 0.985231742
1726601856.668593884 9.853129238 0.157193407 2.403944732 -0.040095967 -0.166793741 -0.008339554 0.985140910
1726601856.671082973 9.912895781 0.158850680 2.423955702 -0.040154605 -0.167316198 -0.008357052 0.985049774
1726601856.673597097 9.972643544 0.160517456 2.444030719 -0.040213005 -0.167838811 -0.008374453 0.984958332
1726601856.676145077 10.032372387 0.162193750 2.464169767 -0.040271195 -0.168361576 -0.008391771 0.984866584
1726601856.678605080 10.092081790 0.163879567 2.484372697 -0.040329094 -0.168884489 -0.008408972 0.984774534
1726601856.681118011 10.151771616 0.165574923 2.504639491 -0.040386734 -0.169407547 -0.008426071 0.984682180
1726601856.683630943 10.211441725 0.167279831 2.524970130 -0.040444146 -0.169930746 -0.008443081 0.984589522
1726601856.686089039 10.271091980 0.168994307 2.545364597 -0.040501355 -0.170454082 -0.008460010 0.984496559
1726601856.688628912 10.330722244 0.170718366 2.565822871 -0.040558387 -0.170977551 -0.008476874 0.984403290
1726601856.691154003 10.390332377 0.172452022 2.586344934 -0.040615263 -0.171501151 -0.008493680 0.984309714
