# t x y z qx qy qz qw
1726601366.029607058 0.000000000 0.000000000 0.000000000 -0.027283088 -0.085523849 -0.002041748 0.995960409
1726601366.032095909 0.059104842 0.000806445 0.009405264 -0.027390933 -0.085970013 -0.002042113 0.995919035
1726601366.034610033 0.118227843 0.001618612 0.018868357 -0.027498380 -0.086416892 -0.002042285 0.995877397
1726601366.037090063 0.177368848 0.002436540 0.028389378 -0.027605473 -0.086864475 -0.002042280 0.995835493
1726601366.039606094 0.236527702 0.003260270 0.037968425 -0.027712253 -0.087312755 -0.002042117 0.995793324
1726601366.042085886 0.295704249 0.004089842 0.047605596 -0.027818756 -0.087761724 -0.002041811 0.995750886
1726601366.044617891 0.354898333 0.004925296 0.057300991 -0.027925016 -0.088211375 -0.002041380 0.995708180
1726601366.047132015 0.414109799 0.005766672 0.067054705 -0.028031063 -0.088661699 -0.002040841 0.995665204
1726601366.049572945 0.473338490 0.006614011 0.076866838 -0.028136924 -0.089112689 -0.002040208 0.995621956
1726601366.052151918 0.532578032 0.007467283 0.086736367 -0.028240915 -0.089564336 -0.002039207 0.995578486
1726601366.054636955 0.591828279 0.008326526 0.096663361 -0.028343214 -0.090016631 -0.002037866 0.995534789
1726601366.057064056 0.651089089 0.009191776 0.106647892 -0.028443978 -0.090469564 -0.002036215 0.995490860
1726601366.059582949 0.710360315 0.010063070 0.116690030 -0.028543352 -0.090923123 -0.002034281 0.995446696
1726601366.062104940 0.769641812 0.010940443 0.126789846 -0.028641470 -0.091377299 -0.002032091 0.995402294
1726601366.064646006 0.828933436 0.011823933 0.136947411 -0.028738452 -0.091832082 -0.002029670 0.995357650
1726601366.067158937 0.888235040 0.012713574 0.147162794 -0.028834407 -0.092287461 -0.002027041 0.995312761
1726601366.069595098 0.947546479 0.013609403 0.157436066 -0.028929435 -0.092743427 -0.002024229 0.995267626
1726601366.072201967 1.006860771 0.014511372 0.167766014 -0.029021775 -0.093199969 -0.002020917 0.995222296
1726601366.074795961 1.066177783 0.015419511 0.178152680 -0.029111674 -0.093657075 -0.002017145 0.995176765
1726601366.077114105 1.125497385 0.016333852 0.188596104 -0.029199360 -0.094114731 -0.002012951 0.995131028
1726601366.079653025 1.184819442 0.017254427 0.199096328 -0.029285039 -0.094572924 -0.002008369 0.995085079
1726601366.082135916 1.244143823 0.018181264 0.209653393 -0.029368903 -0.095031643 -0.002003432 0.995038914
1726601366.084608078 1.303470395 0.019114395 0.220267341 -0.029451120 -0.095490875 -0.001998171 0.994992528
1726601366.087152958 1.362799025 0.020053849 0.230938213 -0.029531849 -0.095950607 -0.001992617 0.994945918
1726601366.089688063 1.422129580 0.020999656 0.241666052 -0.029611233 -0.096410828 -0.001986799 0.994899080
