# t x y z qx qy qz qw
1726601192.777189970 0.000000000 0.000000000 0.000000000 -0.028498914 -0.085311556 -0.004057743 0.995938394
1726601192.779658079 0.058824918 0.000518738 0.009333732 -0.028609946 -0.085752055 -0.004073089 0.995897317
1726601192.782115936 0.117669936 0.001043612 0.018724643 -0.028720764 -0.086193263 -0.004088439 0.995855975
1726601192.784703970 0.176534898 0.001574654 0.028172838 -0.028831378 -0.086635171 -0.004103797 0.995814369
1726601192.787132978 0.235419648 0.002111899 0.037678422 -0.028941797 -0.087077773 -0.004119164 0.995772497
1726601192.789643049 0.294320073 0.002655351 0.047240804 -0.029050938 -0.087521065 -0.004134361 0.995730392
1726601192.792179108 0.353236024 0.003205041 0.056860073 -0.029158904 -0.087965037 -0.004149399 0.995688050
1726601192.794644117 0.412167352 0.003761001 0.066536316 -0.029265792 -0.088409681 -0.004164290 0.995645469
1726601192.797255039 0.471113907 0.004323261 0.076269620 -0.029371688 -0.088854988 -0.004179043 0.995602647
1726601192.799632072 0.530075540 0.004891851 0.086060075 -0.029476674 -0.089300950 -0.004193668 0.995559581
1726601192.802156925 0.589052101 0.005466802 0.095907766 -0.029580821 -0.089747558 -0.004208171 0.995516269
1726601192.804632902 0.648043441 0.006048145 0.105812781 -0.029684198 -0.090194804 -0.004222562 0.995472710
1726601192.807164907 0.707049408 0.006635909 0.115775207 -0.029786866 -0.090642680 -0.004236850 0.995428901
1726601192.809669971 0.766065959 0.007230095 0.125794417 -0.029887814 -0.091091180 -0.004250852 0.995384873
1726601192.812195063 0.825092950 0.007830729 0.135870480 -0.029987188 -0.091540293 -0.004264586 0.995340623
1726601192.814678907 0.884130240 0.008437841 0.146003467 -0.030085123 -0.091990011 -0.004278067 0.995296148
1726601192.817178965 0.943177683 0.009051457 0.156193446 -0.030181741 -0.092440323 -0.004291310 0.995251443
1726601192.819648981 1.002235138 0.009671604 0.166440489 -0.030277154 -0.092891221 -0.004304329 0.995206505
1726601192.822130919 1.061302460 0.010298310 0.176744664 -0.030371465 -0.093342693 -0.004317137 0.995161333
1726601192.824795008 1.120379507 0.010931602 0.187106040 -0.030464768 -0.093794732 -0.004329745 0.995115923
1726601192.827187061 1.179466133 0.011571506 0.197524687 -0.030557149 -0.094247328 -0.004342166 0.995070273
1726601192.829688072 1.238557712 0.012218010 0.207999819 -0.030647466 -0.094700474 -0.004354182 0.995024419
1726601192.832182884 1.297654109 0.012871137 0.218531484 -0.030735902 -0.095154158 -0.004365816 0.994978357
1726601192.834640026 1.356755189 0.013530913 0.229119733 -0.030822619 -0.095608370 -0.004377088 0.994932081
1726601192.837157011 1.415860817 0.014197359 0.239764616 -0.030907770 -0.096063099 -0.004388019 0.994885589
1726601192.839685917 1.474970857 0.014870500 0.250466182 -0.030991495 -0.096518335 -0.004398627 0.994838877
1726601192.842204094 1.534085174 0.015550358 0.261224480 -0.031073916 -0.096974066 -0.004408929 0.994791940
1726601192.844703913 1.593203632 0.016236957 0.272039561 -0.031155151 -0.097430281 -0.004418941 0.994744776
1726601192.847156048 1.652326095 0.016930318 0.282911474 -0.031235307 -0.097886972 -0.004428680 0.994697383
1726601192.849673033 1.711447781 0.017630420 0.293839345 -0.031313225 -0.098344129 -0.004437909 0.994649797
1726601192.852148056 1.770568564 0.018337283 0.304823205 -0.031389106 -0.098801740 -0.004446660 0.994602015
1726601192.854648113 1.829688317 0.019050925 0.315863083 -0.031463133 -0.099259792 -0.004454956 0.994554030
1726601192.857203007 1.888806914 0.019771365 0.326959008 -0.031535475 -0.099718275 -0.004462821 0.994505838
1726601192.859704018 1.947924230 0.020498624 0.338111010 -0.031606282 -0.100177176 -0.004470277 0.994457436
1726601192.862165928 2.007040136 0.021232720 0.349319119 -0.031675697 -0.100636484 -0.004477347 0.994408820
1726601192.864779949 2.066154506 0.021973670 0.360583363 -0.031743845 -0.101096185 -0.004484048 0.994359987
1726601192.867168903 2.125267214 0.022721494 0.371903772 -0.031810844 -0.101556272 -0.004490401 0.994310932
1726601192.869707108 2.184373594 0.023476161 0.383279440 -0.031875588 -0.102016731 -0.004496170 0.994261695
1726601192.872183084 2.243473529 0.024237687 0.394710377 -0.031938284 -0.102477552 -0.004501385 0.994212269
1726601192.874814034 2.302566902 0.025006087 0.406196592 -0.031999119 -0.102938720 -0.004506076 0.994162648
1726601192.877243042 2.361653595 0.025781375 0.417738096 -0.032058265 -0.103400224 -0.004510269 0.994112830
1726601192.879695892 2.420733492 0.026563568 0.429334899 -0.032115879 -0.103862050 -0.004513992 0.994062809
1726601192.882194996 2.479806475 0.027352678 0.440987011 -0.032172106 -0.104324187 -0.004517266 0.994012582
1726601192.884697914 2.538872427 0.028148720 0.452694442 -0.032227075 -0.104786621 -0.004520114 0.993962146
1726601192.887159109 2.597931231 0.028951709 0.464457202 -0.032280907 -0.105249342 -0.004522558 0.993911498
1726601192.889707088 2.656978707 0.029761610 0.476274432 -0.032332637 -0.105712338 -0.004524381 0.993860670
1726601192.892281055 2.716014747 0.030578437 0.488146124 -0.032382461 -0.106175596 -0.004525617 0.993809659
1726601192.894695997 2.775039243 0.031402199 0.500072271 -0.032430558 -0.106639102 -0.004526295 0.993758458
1726601192.897198915 2.834052086 0.032232907 0.512052867 -0.032477093 -0.107102844 -0.004526444 0.993707065
1726601192.899692059 2.893053168 0.033070574 0.524087903 -0.032522213 -0.107566810 -0.004526092 0.993655474
1726601192.902189016 2.952042382 0.033915208 0.536177373 -0.032566055 -0.108030986 -0.004525262 0.993603684
1726601192.904761076 3.011019618 0.034766822 0.548321269 -0.032608745 -0.108495360 -0.004523980 0.993551690
1726601192.907288074 3.069984769 0.035625424 0.560519584 -0.032650396 -0.108959920 -0.004522267 0.993499490
1726601192.909813881 3.128933170 0.036490968 0.572771300 -0.032689921 -0.109424655 -0.004519870 0.993447122
1726601192.912173033 3.187864723 0.037363461 0.585076390 -0.032727520 -0.109889552 -0.004516825 0.993394581
1726601192.914716959 3.246779329 0.038242910 0.597434828 -0.032763378 -0.110354597 -0.004513166 0.993341862
1726601192.917217016 3.305676893 0.039129323 0.609846587 -0.032797664 -0.110819777 -0.004508925 0.993288961
1726601192.919682980 3.364557316 0.040022707 0.622311641 -0.032830529 -0.111285078 -0.004504131 0.993235874
1726601192.922178030 3.423420500 0.040923067 0.634829963 -0.032862115 -0.111750489 -0.004498815 0.993182597
1726601192.924768925 3.482266350 0.041830410 0.647401525 -0.032892548 -0.112215996 -0.004493001 0.993129127
1726601192.927237988 3.541094766 0.042744743 0.660026303 -0.032921947 -0.112681589 -0.004486714 0.993075462
1726601192.929702997 3.599902613 0.043666030 0.672703571 -0.032949631 -0.113147255 -0.004479788 0.993021627
1726601192.932205915 3.658689799 0.044594276 0.685433289 -0.032975767 -0.113612981 -0.004472258 0.992967617
1726601192.934721947 3.717456235 0.045529485 0.698215418 -0.033000509 -0.114078755 -0.004464153 0.992913428
1726601192.937256098 3.776201832 0.046471661 0.711049919 -0.033023996 -0.114544565 -0.004455506 0.992859057
1726601192.939722061 3.834926499 0.047420808 0.723936752 -0.033046355 -0.115010396 -0.004446342 0.992804501
1726601192.942234039 3.893630148 0.048376930 0.736875877 -0.033067704 -0.115476240 -0.004436690 0.992749757
1726601192.944746017 3.952312688 0.049340030 0.749867255 -0.033088147 -0.115942083 -0.004426573 0.992694824
1726601192.947168112 4.010974030 0.050310112 0.762910845 -0.033107781 -0.116407914 -0.004416015 0.992639699
1726601192.949691057 4.069610773 0.051287131 0.776005822 -0.033125848 -0.116873724 -0.004404825 0.992584409
1726601192.952208042 4.128222835 0.052271088 0.789152131 -0.033142504 -0.117339498 -0.004393037 0.992528951
1726601192.954715014 4.186810135 0.053261985 0.802349719 -0.033157890 -0.117805227 -0.004380683 0.992473321
1726601192.957380056 4.245372593 0.054259824 0.815598531 -0.033172137 -0.118270898 -0.004367794 0.992417516
1726601192.959739923 4.303910128 0.055264604 0.828898515 -0.033185364 -0.118736500 -0.004354398 0.992361534
1726601192.962236881 4.362422658 0.056276327 0.842249615 -0.033197679 -0.119202020 -0.004340521 0.992305373
1726601192.964757919 4.420910105 0.057294995 0.855651777 -0.033209181 -0.119667451 -0.004326189 0.992249029
1726601192.967250109 4.479372388 0.058320608 0.869104948 -0.033219960 -0.120132781 -0.004311428 0.992192502
1726601192.969753027 4.537804885 0.059353095 0.882607960 -0.033228953 -0.120597999 -0.004295956 0.992135829
1726601192.972325087 4.596207529 0.060392454 0.896160738 -0.033236337 -0.121063094 -0.004279816 0.992079007
1726601192.974728107 4.654580251 0.061438684 0.909763211 -0.033242275 -0.121528054 -0.004263045 0.992022031
1726601192.977263927 4.712922982 0.062491782 0.923415304 -0.033246911 -0.121992867 -0.004245678 0.991964897
1726601192.979733944 4.771235654 0.063551746 0.937116945 -0.033250383 -0.122457523 -0.004227750 0.991907603
1726601192.982198000 4.829518200 0.064618573 0.950868061 -0.033252810 -0.122922011 -0.004209291 0.991850146
1726601192.984800100 4.887770551 0.065692260 0.964668578 -0.033254306 -0.123386322 -0.004190331 0.991792523
1726601192.987293959 4.945992641 0.066772807 0.978518423 -0.033254972 -0.123850443 -0.004170899 0.991734732
1726601192.989758968 5.004180557 0.067860143 0.992416551 -0.033253949 -0.124314366 -0.004150759 0.991676804
1726601192.992243052 5.062334242 0.068954264 1.006362871 -0.033251409 -0.124778078 -0.004129952 0.991618736
1726601192.994750023 5.120453639 0.070055166 1.020357296 -0.033247504 -0.125241569 -0.004108518 0.991560524
1726601192.997257948 5.178538691 0.071162843 1.034399735 -0.033242374 -0.125704828 -0.004086493 0.991502164
1726601192.999774933 5.236589341 0.072277289 1.048490102 -0.033236149 -0.126167843 -0.004063911 0.991443654
1726601193.002259970 5.294605532 0.073398498 1.062628306 -0.033228947 -0.126630606 -0.004040805 0.991384990
1726601193.005070925 5.352587207 0.074526466 1.076814259 -0.033220871 -0.127093107 -0.004017203 0.991326171
1726601193.007258892 5.410534311 0.075661186 1.091047873 -0.033212023 -0.127555335 -0.003993136 0.991267196
1726601193.009774923 5.468443285 0.076802590 1.105328145 -0.033201640 -0.128017280 -0.003968386 0.991208091
1726601193.012284994 5.526314084 0.077950669 1.119654972 -0.033189877 -0.128478932 -0.003942996 0.991148853
1726601193.014811039 5.584146661 0.079105415 1.134028251 -0.033176877 -0.128940280 -0.003917004 0.991089479
